Clase T|En construcción.|
Intervención tres escuelas|Tres Escuelas es un proyecto desarrollado por la Universidad Nacional de Colombia en el año 2016 con el propósito de fomentar el uso y la apropiación de la tecnología para la innovación en tres comunidades educativas de Cundinamarca (IE Santa Ana en Soacha, IED Bagazal en Villeta y la Escuela Normal Superior de Ubaté).|
Aulas sin fronteras|Aulas sin fronteras es un proyecto que busca apoyar docentes de las áreas de matemáticas, lenguaje, ciencias y sociales pertenecientes a 55 instituciones educativas del departamento del Chocó, por medio de una producción de planes educativos completos y detallados para los grados 7°, 8° y 9.|
Cinemateca|En construcción.|
Policia Nacional|En construcción.|
Escuela innovadora|En construcción.|
Pares Academicos|Pares académicos es un proyecto para la implementación de estrategias de aprendizaje con el fin de capacitar docentes en diversas áreas del conocimiento, contribuyendo al mejoramiento de la educación superior en Colombia.|
Dia E|En construcción.|
Intervención Girardot|En construcción.|
CAV|En construcción.|
Taller del estudiante|En construcción.|
Presentación Día E|En construcción.|
